033B	Courtney Thorne
033D	TPV Technology
033E	Monitra
033F	Automation Components
0341	Etesian Technologies
0342	GERTEC BRASIL LTDA.
0343	Drekker Development
0344	Whirl
0345	Locus Positioning
0346	Acuity Brands Lighting
0347	Prevent Biometrics
0349	VersaMe
034B	Libratone
034C	HM Electronics
034D	TASER International
034F	Heartland Payment Systems
0350	Bitstrata Systems
0351	Pieps
0352	iRiding(Xiamen)Technology
0353	Alpha Audiotronics
0354	TOPPAN FORMS
0355	Sigma Designs
0356	Spectrum Brands
0357	Polymap Wireless
0358	MagniWare
0359	Novotec Medical
035A	Phillips-Medisize
035B	Matrix
035C	Eaton
035D	KYS
035E	Naya Health
035F	Acromag
0360	Insulet
0361	Wellinks
0362	ON Semiconductor
0363	FREELAP
0364	Favero Electronics
0365	BioMech Sensor
0366	BOLTT Sports technologies Private
0368	Metormote
0369	littleBits
036A	SetPoint Medical
036B	BRControls Products
036C	Zipcar
036D	AirBolt
036E	MOTIVE TECHNOLOGIES
036F	Motiv
0370	Wazombi Labs OÜ
0372	Nixie Labs
0373	AppNearMe
0374	Holman Industries
0375	Expain
0376	Electronic Temperature Instruments
0377	Plejd
0378	Propeller Health
0379	Shenzhen iMCO Electronic Technology
037A	Algoria
037B	Apption Labs
037C	Cronologics
037D	MICRODIA
037E	lulabytes S.L.
037F	Société des Produits Nestlé
0380	LLC "MEGA-F service"
0381	Sharp
0382	Precision Outcomes
0383	Kronos
0385	Embedded Electronic Solutions Ltd. dba e2Solutions
0386	Aterica
0387	BluStor PMC
0388	Kapsch TrafficCom
0389	ActiveBlu
038A	Kohler Mira
038B	Noke
038C	Appion
038D	Resmed
038E	Crownstone
038F	Xiaomi
0390	INFOTECH s.r.o.
0391	Thingsquare
0392	T&D
0393	LAVAZZA
0395	SDATAWAY
0396	BLOKS
0397	LEGO System
0398	Thetatronics
0399	Nikon
039A	NeST
039B	South Silicon Valley Microelectronics
039C	ALE International
039D	CareView Communications
039E	SchoolBoard
039F	Molex
03A0	IVT Wireless
03A1	Alpine Labs
03A2	Candura Instruments
03A3	SmartMovt Technology
03A4	Token Zero
03A5	ACE CAD Enterprise
03A6	Medela
03A7	AeroScout
03A8	Esrille
03AA	Exon Sp. z o.o.
